Gene names  (ordered locus )	Entry	DNA binding	Metal binding	Nucleotide binding	Site	Cross-link	Disulfide bond	Glycosylation	Lipidation	Modified residue	Peptide	Propeptide	Signal peptide	Transit peptide	Coiled coil	Domain [CC]	Domain [FT]	Motif	Region	Zinc finger
YMR090W	Q04304																			
YLR053C	Q12026																		"REGION 1..27;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YMR102C	Q03177									"MOD_RES 528;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358""; MOD_RES 771;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:18407956"""									"REGION 1..51;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 213..233;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 761..789;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YNL042W-B	Q3E7Z2																			
YPL164C	Q12083																			
YCR039C	P0CY08	"DNA_BIND 129..191;  /note=""Homeobox; TALE-type"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00108"""								"MOD_RES 1;  /note=""N-acetylmethionine"";  /evidence=""ECO:0000269|PubMed:20110468"""						"DOMAIN: The N-terminal domain is required for the interaction with the WD repeats of TUP1 and for dimerization. {ECO:0000269|PubMed:3061876}.; DOMAIN: The homeobox domain binds to DNA and interacts with the TPR repeats of SSN6. {ECO:0000269|PubMed:3061876}.; DOMAIN: The unstructured, flexible linker domain contains eight residues (Leu-114 to Gln-121), which, in the presence of MCM1, adopt a beta-fold and mediate the cooperative interaction to MCM1. {ECO:0000269|PubMed:3061876}.; DOMAIN: The C-terminal tail domain is disordered in the monomer, even when bound to DNA. In the ternary complex with A1 and DNA, 16 residues (Ile-190 to Leu-205) of the C-terminal tail undergo a conformational change, becoming ordered and contacting the A1 homeodomain. {ECO:0000269|PubMed:3061876}."			"REGION 1..102;  /note=""N-terminal domain""; REGION 103..128;  /note=""Flexible linker""; REGION 190..210;  /note=""C-terminal tail"""	
YHR168W	P38860			"NP_BIND 346..353;  /note=""GTP"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01047""; NP_BIND 394..398;  /note=""GTP"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01047""; NP_BIND 460..463;  /note=""GTP"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01047"""										"TRANSIT 1..23;  /note=""Mitochondrion"";  /evidence=""ECO:0000255"""			"DOMAIN 89..339;  /note=""Obg"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01231""; DOMAIN 340..512;  /note=""OBG-type G"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01047"""			
YLR017W	Q07938				"SITE 212;  /note=""Important for substrate specificity"";  /evidence=""ECO:0000255|HAMAP-Rule:MF_03155""; SITE 267;  /note=""Important for substrate specificity"";  /evidence=""ECO:0000255|HAMAP-Rule:MF_03155"""														"REGION 88..89;  /note=""Phosphate binding"";  /evidence=""ECO:0000255|HAMAP-Rule:MF_03155""; REGION 121..122;  /note=""Phosphate binding"";  /evidence=""ECO:0000255|HAMAP-Rule:MF_03155""; REGION 254..256;  /note=""Substrate binding"";  /evidence=""ECO:0000255|HAMAP-Rule:MF_03155"""	
YER089C	P39966		"METAL 62;  /note=""Manganese 1"";  /evidence=""ECO:0000250""; METAL 62;  /note=""Manganese 2"";  /evidence=""ECO:0000250""; METAL 63;  /note=""Manganese 1; via carbonyl oxygen"";  /evidence=""ECO:0000250""; METAL 234;  /note=""Manganese 2"";  /evidence=""ECO:0000250""; METAL 283;  /note=""Manganese 2"";  /evidence=""ECO:0000250"""							"MOD_RES 376;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 380;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:19779198"""							"DOMAIN 23..292;  /note=""PPM-type phosphatase"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01082"""		"REGION 361..398;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 434..464;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YMR314W	P40302					"CROSSLNK 191;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0007744|PubMed:22106047"""				"MOD_RES 14;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198"""										
YLL013C	Q07807									"MOD_RES 83;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:15665377""; MOD_RES 207;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:15665377""; MOD_RES 210;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""							"DOMAIN 513..871;  /note=""PUM-HD"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00318"""		"REGION 222..256;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 344..417;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 443..512;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YJL001W	P38624									"MOD_RES 1;  /note=""N-acetylmethionine"";  /evidence=""ECO:0007744|PubMed:22814378"""		"PROPEP 1..19;  /note=""Removed in mature form"";  /id=""PRO_0000026643"""								
YGR276C	P53331									"MOD_RES 24;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""					"COILED 167..194;  /evidence=""ECO:0000255""; COILED 509..533;  /evidence=""ECO:0000255"""		"DOMAIN 225..373;  /note=""Exonuclease"""			
YLR107W	Q12090																"DOMAIN 243..389;  /note=""Exonuclease"""			
YHR197W	P38883									"MOD_RES 2;  /note=""N-acetylserine"";  /evidence=""ECO:0007744|PubMed:22814378"""									"REGION 2..233;  /note=""Interaction with IPI3"";  /evidence=""ECO:0000269|PubMed:26619264""; REGION 663..763;  /note=""Interaction with MDN1"";  /evidence=""ECO:0000269|PubMed:26619264""; REGION 722..763;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YIL133C	P26784					"CROSSLNK 177;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0007744|PubMed:22106047"""				"MOD_RES 2;  /note=""N-acetylserine"";  /evidence=""ECO:0000269|PubMed:1544921"""										
YML073C	Q02326					"CROSSLNK 128;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0000250|UniProtKB:P05739"""				"MOD_RES 2;  /note=""N-acetylserine"";  /evidence=""ECO:0000269|PubMed:10601260""; MOD_RES 12;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""										
YCR067C	P25365							"CARBOHYD 388;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 620;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 1039;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""		"MOD_RES 65;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""								"MOTIF 1062..1065;  /note=""Prevents secretion from ER"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU10138"""	"REGION 458..477;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 482..520;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 551..625;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 824..863;  /note=""4 X 10 AA tandem repeats"""	
YDR279W	Q05635																		"REGION 134..153;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGL146C	P53117																			
YOL048C	Q08219																			
YPR132W	P0CX30					"CROSSLNK 56;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0007744|PubMed:22106047"""				"MOD_RES 64;  /note=""3,4-dihydroxyproline"";  /evidence=""ECO:0000269|PubMed:24550462"""										
YLR083C	P32802				"SITE 250..251;  /note=""Cleavage; by KEX2"";  /evidence=""ECO:0000255"""			"CARBOHYD 61;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 282;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""					"SIGNAL 1..22;  /evidence=""ECO:0000269|PubMed:8314797"""							
YDR369C	P33301									"MOD_RES 349;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 533;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 534;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 553;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 555;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:19779198"""									"REGION 429..455;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 807..854;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YBL039W-B	P0C268																			
YBR209W	P38311																			
YEL025C	P39991																			
YBL005W-A	Q12266				"SITE 401..402;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250"""						"PEPTIDE 402..440;  /note=""Gag-p4"";  /evidence=""ECO:0000250"";  /id=""PRO_0000278992"""					DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.			"REGION 20..84;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 137..173;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 299..401;  /note=""RNA-binding"";  /evidence=""ECO:0000250""; REGION 350..424;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YCR050C	P25630																			
YGR285C	P32527									"MOD_RES 50;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358, ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198"""							"DOMAIN 98..170;  /note=""J"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00286"""		"REGION 292..357;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YAR064W	P39563																			
YGR269W	P40326																			
YDR415C	Q04033		"METAL 177;  /note=""Zinc 1"";  /evidence=""ECO:0000250""; METAL 196;  /note=""Zinc 1"";  /evidence=""ECO:0000250""; METAL 196;  /note=""Zinc 2; catalytic"";  /evidence=""ECO:0000250""; METAL 235;  /note=""Zinc 2; catalytic"";  /evidence=""ECO:0000250""; METAL 262;  /note=""Zinc 1"";  /evidence=""ECO:0000250""; METAL 340;  /note=""Zinc 2; catalytic"";  /evidence=""ECO:0000250"""										"SIGNAL 1..18;  /evidence=""ECO:0000255"""							
YHR138C	P38841									"MOD_RES 41;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""			"SIGNAL 1..19;  /evidence=""ECO:0000255"""							
YHR078W	P38799																			
YIR018C-A	Q3E7Z3																			
YPL087W	Q02896						"DISULFID 26..219;  /evidence=""ECO:0000250|UniProtKB:P38298"""													
YER160C	Q03619		"METAL 671;  /note=""Magnesium 1; catalytic; for integrase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 736;  /note=""Magnesium 1; catalytic; for integrase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1346;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1427;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1428;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1610;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1652;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1685;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457"""		"SITE 401..402;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250""; SITE 582..583;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250""; SITE 1217..1218;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250"""											"DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}."	"DOMAIN 660..835;  /note=""Integrase catalytic"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; DOMAIN 1338..1476;  /note=""Reverse transcriptase Ty1/copia-type""; DOMAIN 1610..1752;  /note=""RNase H Ty1/copia-type"""	"MOTIF 1178..1212;  /note=""Bipartite nuclear localization signal"";  /evidence=""ECO:0000250"""	"REGION 1..93;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 126..173;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 299..401;  /note=""RNA-binding"";  /evidence=""ECO:0000250""; REGION 352..421;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 583..640;  /note=""Integrase-type zinc finger-like""; REGION 958..1170;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YLR120C	P32329				"SITE 128..129;  /note=""Cleavage; by autolysis"";  /evidence=""ECO:0000305""; SITE 144..145;  /note=""Cleavage; by autolysis"""			"CARBOHYD 95;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 203;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 232;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 242;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 245;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 299;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 358;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 480;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 522;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 532;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""	"LIPID 548;  /note=""GPI-anchor amidated asparagine"";  /evidence=""ECO:0000255"""			"PROPEP 22..67;  /evidence=""ECO:0000269|PubMed:9417119"";  /id=""PRO_0000025838""; PROPEP 549..569;  /note=""Removed in mature form"";  /evidence=""ECO:0000255"";  /id=""PRO_0000025840"""	"SIGNAL 1..21;  /evidence=""ECO:0000255"""				"DOMAIN 83..475;  /note=""Peptidase A1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01103"""			
YMR122W-A	Q3E842							"CARBOHYD 45;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""											"REGION 34..57;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YMR254C	Q04838																			
YLL067C	Q07888			"NP_BIND 388..395;  /note=""ATP"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00541"""													"DOMAIN 375..552;  /note=""Helicase ATP-binding"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00541""; DOMAIN 609..758;  /note=""Helicase C-terminal"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00542"""	"MOTIF 498..501;  /note=""DEAH box"""	"REGION 321..345;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 832..1035;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YJR085C	P47131																			
YJR128W	P47162																		"REGION 1..22;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YMR243C	P20107					"CROSSLNK 357;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0007744|PubMed:22106047"""				"MOD_RES 387;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198""; MOD_RES 393;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198""; MOD_RES 397;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198"""									"REGION 141..170;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 208..227;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 391..419;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YLL039C	P0CG63					"CROSSLNK 48;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0000269|PubMed:7862120""; CROSSLNK 76;  /note=""Glycyl lysine isopeptide (Gly-Lys) (interchain with K-? in acceptor proteins)"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00214"""						"PROPEP 381;  /id=""PRO_0000396311"""					"DOMAIN 1..76;  /note=""Ubiquitin-like 1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00214""; DOMAIN 77..152;  /note=""Ubiquitin-like 2"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00214""; DOMAIN 153..228;  /note=""Ubiquitin-like 3"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00214""; DOMAIN 229..304;  /note=""Ubiquitin-like 4"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00214""; DOMAIN 305..380;  /note=""Ubiquitin-like 5"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00214"""			
YLR435W	Q06672																		"REGION 144..205;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YER128W	P40080														"COILED 121..157;  /evidence=""ECO:0000255"""				"REGION 99..125;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 171..193;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YAR066W	P0CX18							"CARBOHYD 28;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 138;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""	"LIPID 184;  /note=""GPI-anchor amidated asparagine"";  /evidence=""ECO:0000255"""			"PROPEP 185..203;  /note=""Removed in mature form"";  /evidence=""ECO:0000255"";  /id=""PRO_0000409753"""	"SIGNAL 1..23;  /evidence=""ECO:0000255"""							
YIL029C	P40538																			
YGR273C	P53329																		"REGION 78..97;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YCR004C	P25349								"LIPID 243;  /note=""S-palmitoyl cysteine"";  /evidence=""ECO:0000305|PubMed:16751107""; LIPID 244;  /note=""S-farnesyl cysteine"";  /evidence=""ECO:0000255"""	"MOD_RES 244;  /note=""Cysteine methyl ester"";  /evidence=""ECO:0000255"""		"PROPEP 245..247;  /note=""Removed in mature form"";  /evidence=""ECO:0000255"";  /id=""PRO_0000366191"""					"DOMAIN 4..193;  /note=""Flavodoxin-like"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00088"""		"REGION 204..247;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YCL012C	Q8J0M4					"CROSSLNK 86;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0007744|PubMed:22106047"""				"MOD_RES 71;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 74;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""			"SIGNAL 1..23;  /evidence=""ECO:0000255"""							
YER031C	P38555			"NP_BIND 20..27;  /note=""GTP"";  /evidence=""ECO:0000250""; NP_BIND 68..72;  /note=""GTP"";  /evidence=""ECO:0000250""; NP_BIND 126..129;  /note=""GTP"";  /evidence=""ECO:0000250"""					"LIPID 222;  /note=""S-geranylgeranyl cysteine"";  /evidence=""ECO:0000250""; LIPID 223;  /note=""S-geranylgeranyl cysteine"";  /evidence=""ECO:0000250"""	"MOD_RES 2;  /note=""N-acetylserine"";  /evidence=""ECO:0000269|Ref.5"""								"MOTIF 42..50;  /note=""Effector region"";  /evidence=""ECO:0000305"""	"REGION 185..223;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YLR157C-A	P0CX72				"SITE 401..402;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250"""					"MOD_RES 416;  /note=""Phosphoserine"";  /evidence=""ECO:0000250|UniProtKB:Q12441"""	"PEPTIDE 402..440;  /note=""Gag-p4"";  /evidence=""ECO:0000250"";  /id=""PRO_0000409796"""					DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.			"REGION 1..93;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 126..174;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 299..401;  /note=""RNA-binding"";  /evidence=""ECO:0000250""; REGION 352..440;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YLL067W-A	P0CY01																			
YNR075C-A	Q8TGJ2																			
YNL034W	P53963																		"REGION 171..217;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YMR046C	Q04215				"SITE 401..402;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250"""						"PEPTIDE 402..440;  /note=""Gag-p4"";  /evidence=""ECO:0000250"";  /id=""PRO_0000279132"""					DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.			"REGION 1..88;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 137..174;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 299..401;  /note=""RNA-binding"";  /evidence=""ECO:0000250""; REGION 350..424;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YMR181C	Q03231									"MOD_RES 47;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""										
YJL136W-A	Q3E801																			
YPR145C-A	Q2V2P0																		"REGION 49..78;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YJR098C	P47139									"MOD_RES 39;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""									"REGION 1..41;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 60..88;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YPR147C	Q06522							"CARBOHYD 95;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""										"MOTIF 107..111;  /note=""GXSXG"";  /evidence=""ECO:0000255"""		
YKR010C	Q02208									"MOD_RES 397;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 405;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:19779198"""									"REGION 48..69;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 271..330;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 346..367;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 633..771;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YLR329W	Q02721																			
YCR023C	P25351									"MOD_RES 313;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950""; MOD_RES 603;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""									"REGION 261..301;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGL034C	P53186			"NP_BIND 77..84;  /note=""ATP"";  /evidence=""ECO:0000255"""																
YIL060W	P40519																			
YNR068C	P53754																			
YNL011C	P53980																			
YMR013C-A	P0C5Q3																			
YML040W	P0CX76				"SITE 401..402;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250"""					"MOD_RES 416;  /note=""Phosphoserine"";  /evidence=""ECO:0000250|UniProtKB:Q12441"""	"PEPTIDE 402..440;  /note=""Gag-p4"";  /evidence=""ECO:0000250"";  /id=""PRO_0000409805"""					DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.			"REGION 1..93;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 126..173;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 299..401;  /note=""RNA-binding"";  /evidence=""ECO:0000250""; REGION 352..440;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YMR206W	Q03695																		"REGION 24..53;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 190..291;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YMR175W-A	Q3E766																			
YPL073C	P40323																			
YPR098C	Q06089																			
YGR283C	P53336																			
YCR041W	P37265																			
YEL041W	P32622																		"REGION 442..480;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YCR061W	P25639					"CROSSLNK 250;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0007744|PubMed:22106047"""		"CARBOHYD 87;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 98;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""		"MOD_RES 219;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198"""			"SIGNAL 1..20;  /evidence=""ECO:0000255"""						"REGION 216..274;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YHR210C	P38893																			
